French Guiana,French Guiana,,,
Guyana,Guyana,,,
Falkland Islands,Falkland Islands,,,
Paraguay,Paraguay,,,
Peru,Peru,,,
Suriname,Suriname,,,
Uruguay,Uruguay,,,
Venezuela,Venezuela,,,
Postal order/cheque,Postal order/cheque,,,
Personal cheque,Personal cheque,,,
Visa or MasterCard,Visa or MasterCard,,,
American Express,American Express,,,
Cash on delivery,Cash on delivery,,,
Other - See the subject description,Other - See the subject description,,,
Bank transfer,Bank transfer,,,
PayPal,PayPal,,,
Bank transfer accepted,Bank transfer accepted,,,
14 days,14 days,,,
30 days,30 days,,,
60 days,60 days,,,
Returns accepted,Returns accepted,,,
Returns refused,Returns refused,,,
Buyer,Buyer,,,
Seller,Seller,,,
Others,Others,,,
Other standard international delivery,Other standard international delivery,,,
Other economy international delivery,Other economy international delivery,,,
Cash on delivery,Cash on delivery,,,
La Poste - International Priority Mail,La Poste - International Priority Mail,,,
La Poste - International Economy Mail,La Poste - International Economy Mail,,,
La Poste - Colissimo International,La Poste - Colissimo International,,,
La Poste - Colissimo Package International,La Poste - Colissimo Package International,,,
La Poste - International Economy Package,La Poste - International Economy Package,,,
Economy Delivery from Abroad,Economy Delivery from Abroad,,,
Standard Delivery from Abroad,Standard Delivery from Abroad,,,
Express Delivery from Abroad,Express Delivery from Abroad,,,
Delivery from Abroad with Tracking,Delivery from Abroad with Tracking,,,
Delivery in the FRENCH OVERSEAS DEPARTMENTS AND TERRITORIES,Delivery in the FRENCH OVERSEAS DEPARTMENTS AND TERRITORIES,,,
UPS Standard,UPS Standard,,,
Economy,Economy,,,
Other shipment method,Other shipment method,,,
Letter with tracking,Letter with tracking,,,
Max Letter,Max Letter,,,
Green letter/Ecopli,Green letter/Ecopli,,,
Express,Express,,,
Other delivery in 24 hrs.,Other delivery in 24 hrs.,,,
Chronopost,Chronopost,,,
Chronopost Express International,Chronopost Express International,,,
Express Shipping from outside,Express Shipping from outside,,,
Other express international delivery,Other express international delivery,,,
Chronopost Classic International,Chronopost Classic International,,,
DHL,DHL,,,
UPS Express,UPS Express,,,
Local Pickup,Local Pickup,,,
Hand delivery,Hand delivery,,,
None,None,,,
Chrono 10,Chrono 10,,,
Chrono 18,Chrono 18,,,
Reception Centre,Reception Centre,,,
Chronopost - Chrono Reception,Chronopost - Chrono Reception,,,
Reception Centre Delivery Global Relay,Reception Centre Delivery Global Relay,,,
Kiala Reception Centre Delivery,Kiala Reception Centre Delivery,,,
Promotional Services,Promotional Services,,,
Standard,Standard,,,
Other delivery in 48 hrs.,Other delivery in 48 hrs.,,,
Colissimo,Colissimo,,,
Registered Colissimo,Registered Colissimo,,,
Priority mail,Priority mail,,,
Registered mail,Registered mail,,,
Worldwide,Worldwide,,,
Australia,Australia,,,
America,America,,,
Asia,Asia,,,
Belgium,Belgium,,,
Canada,Canada,,,
Germany,Germany,,,
Europe,Europe,,,
European Union,European Union,,,
United Kingdom,United Kingdom,,,
Japan,Japan,,,
No location,No location,,,
United States,United States,,,
Africa,Africa,,,
Asia,Asia,,,
Central America and the Caribbean,Central America and the Caribbean,,,
Europe,Europe,,,
North America,North America,,,
Oceania,Oceania,,,
South America,South America,,,
Middle East,Middle East,,,
Southeast Asia,Southeast Asia,,,
Post Office Box,Post Office Box,,,
Africa,Africa,,,
Algeria,Algeria,,,
Angola,Angola,,,
Botswana,Botswana,,,
Burkina Faso,Burkina Faso,,,
Burundi,Burundi,,,
Benin,Benin,,,
Cameroon,Cameroon,,,
Comoros,Comoros,,,
Congo,Congo,,,
"Congo, Democratic Republic of the","Congo, Democratic Republic of the",,,
Ivory Coast,Ivory Coast,,,
Djibouti,Djibouti,,,
Gabon,Gabon,,,
Gambia,Gambia,,,
Ghana,Ghana,,,
Guinea,Guinea,,,
Equatorial Guinea,Equatorial Guinea,,,
Guinea-Bissau,Guinea-Bissau,,,
Kenya,Kenya,,,
Lesotho,Lesotho,,,
Liberia,Liberia,,,
Libya,Libya,,,
Madagascar,Madagascar,,,
Malawi,Malawi,,,
Mali,Mali,,,
Morocco,Morocco,,,
Mauritius,Mauritius,,,
Mauritania,Mauritania,,,
Mayotte,Mayotte,,,
Mozambique,Mozambique,,,
Namibia,Namibia,,,
Niger,Niger,,,
Nigeria,Nigeria,,,
Uganda,Uganda,,,
Rwanda,Rwanda,,,
Central African Republic,Central African Republic,,,
Reunion,Reunion,,,
Western Sahara,Western Sahara,,,
Saint Helena,Saint Helena,,,
Seychelles,Seychelles,,,
Sierra Leone,Sierra Leone,,,
Somalia,Somalia,,,
Swaziland,Swaziland,,,
Senegal,Senegal,,,
Tanzania,Tanzania,,,
Chad,Chad,,,
Togo,Togo,,,
Tunisia,Tunisia,,,
Zambia,Zambia,,,
Zimbabwe,Zimbabwe,,,
Egypt,Egypt,,,
Eritrea,Eritrea,,,
Ethiopia,Ethiopia,,,
Cape Verde Islands,Cape Verde Islands,,,
Afghanistan,Afghanistan,,,
Armenia,Armenia,,,
Bangladesh,Bangladesh,,,
Bhutan,Bhutan,,,
China,China,,,
South Korea,South Korea,,,
Georgia,Georgia,,,
India,India,,,
Japan,Japan,,,
Kazakhstan,Kazakhstan,,,
Kyrgyzstan,Kyrgyzstan,,,
Maldives,Maldives,,,
Mongolia,Mongolia,,,
Nepal,Nepal,,,
Uzbekistan,Uzbekistan,,,
Pakistan,Pakistan,,,
Azerbaijan,Azerbaijan,,,
Sri Lanka,Sri Lanka,,,
Tajikistan,Tajikistan,,,
Turkmenistan,Turkmenistan,,,
Russia,Russia,,,
Russia,Russia,,,
Albania,Albania,,,
Germany,Germany,,,
Andorra,Andorra,,,
Austria,Austria,,,
Belgium,Belgium,,,
Belarus,Belarus,,,
Bosnia-Herzegovina,Bosnia-Herzegovina,,,
Bulgaria,Bulgaria,,,
Cyprus,Cyprus,,,
Croatia,Croatia,,,
Denmark,Denmark,,,
Spain,Spain,,,
Estonia,Estonia,,,
Finland,Finland,,,
Gibraltar,Gibraltar,,,
Greece,Greece,,,
Guernsey,Guernsey,,,
Hungary,Hungary,,,
Ireland,Ireland,,,
Iceland,Iceland,,,
Italy,Italy,,,
Jersey,Jersey,,,
Latvia,Latvia,,,
Liechtenstein,Liechtenstein,,,
Lithuania,Lithuania,,,
Luxembourg,Luxembourg,,,
Macedonia,Macedonia,,,
Malta,Malta,,,
Moldavia,Moldavia,,,
Monaco,Monaco,,,
Montenegro,Montenegro,,,
Norway,Norway,,,
Netherlands,Netherlands,,,
Poland,Poland,,,
Portugal,Portugal,,,
Romania,Romania,,,
United Kingdom,United Kingdom,,,
Czech Republic,Czech Republic,,,
San Marino,San Marino,,,
Serbia,Serbia,,,
Slovakia,Slovakia,,,
Slovenia,Slovenia,,,
Switzerland,Switzerland,,,
Sweden,Sweden,,,
Svalbard and Jan Mayen Island,Svalbard and Jan Mayen Island,,,
Ukraine,Ukraine,,,
Vatican,Vatican,,,
Anguilla,Anguilla,,,
Antigua and Barbuda,Antigua and Barbuda,,,
Netherland Antilles,Netherland Antilles,,,
Aruba,Aruba,,,
Bahamas,Bahamas,,,
Barbados,Barbados,,,
Belize,Belize,,,
Costa Rica,Costa Rica,,,
Dominica,Dominica,,,
Grenade,Grenade,,,
Guadeloupe,Guadeloupe,,,
Guatemala,Guatemala,,,
Haiti,Haiti,,,
Honduras,Honduras,,,
Jamaica,Jamaica,,,
Martinique,Martinique,,,
Montserrat,Montserrat,,,
Nicaragua,Nicaragua,,,
Panama,Panama,,,
Puerto Rico,Puerto Rico,,,
Dominican Republic,Dominican Republic,,,
Saint Kitts and Nevis,Saint Kitts and Nevis,,,
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,,,
Saint Lucia,Saint Lucia,,,
El Salvador,El Salvador,,,
Trinidad and Tobago,Trinidad and Tobago,,,
Cayman Islands,Cayman Islands,,,
Turks and Caicos Islands,Turks and Caicos Islands,,,
U.S. Virgin Islands,U.S. Virgin Islands,,,
British Virgin Islands,British Virgin Islands,,,
Saudi Arabia,Saudi Arabia,,,
Bahrain,Bahrain,,,
Iraq,Iraq,,,
Israel,Israel,,,
Jordan,Jordan,,,
Kuwait,Kuwait,,,
Lebanon,Lebanon,,,
Oman,Oman,,,
Qatar,Qatar,,,
Turkey,Turkey,,,
Yemen,Yemen,,,
United Arab Emirates,United Arab Emirates,,,
Bermuda,Bermuda,,,
Canada,Canada,,,
Greenland,Greenland,,,
Mexico,Mexico,,,
Saint Pierre and Miquelon,Saint Pierre and Miquelon,,,
United States,United States,,,
Australia,Australia,,,
Fiji,Fiji,,,
Guam,Guam,,,
Kiribati,Kiribati,,,
Micronesia,Micronesia,,,
Nauru,Nauru,,,
Niue,Niue,,,
New Caledonia,New Caledonia,,,
New Zealand,New Zealand,,,
Palau,Palau,,,
Papua New Guinea,Papua New Guinea,,,
French Polynesia,French Polynesia,,,
American Samoa,American Samoa,,,
Independent State of Samoa,Independent State of Samoa,,,
Tonga,Tonga,,,
Tuvalu,Tuvalu,,,
Vanuatu,Vanuatu,,,
Wallis and Futuna,Wallis and Futuna,,,
Cook Islands,Cook Islands,,,
Marshall Islands,Marshall Islands,,,
Solomon Islands,Solomon Islands,,,
Brunei,Brunei,,,
Cambodia,Cambodia,,,
Hong Kong,Hong Kong,,,
Indonesia,Indonesia,,,
Laos,Laos,,,
Macau,Macau,,,
Malaysia,Malaysia,,,
Philippines,Philippines,,,
Singapore,Singapore,,,
Taiwan,Taiwan,,,
Thailand,Thailand,,,
Vietnam,Vietnam,,,
Argentina,Argentina,,,
Bolivia,Bolivia,,,
Brazil,Brazil,,,
Chile,Chile,,,
Colombia,Colombia,,,
Guyana,Guyana,,,
Guyana,Guyana,,,
Paraguay,Paraguay,,,
Peru,Peru,,,
Suriname,Suriname,,,
Uruguay,Uruguay,,,
Venezuela,Venezuela,,,
Ecuador,Ecuador,,,
Falkland Islands,Falkland Islands,,,
Cash on delivery,Cash on delivery,,,
Other - See item description,Other - See item description,,,
Infobonifico,Infobonifico,,,
PayPal,PayPal,,,
Bank transfer accepted,Bank transfer accepted,,,
14 days,14 days,,,
30 days,30 days,,,
60 days,60 days,,,
Returns accepted,Returns accepted,,,
Returns not accepted,Returns not accepted,,,
Buyer,Buyer,,,
Seller,Seller,,,
Other services,Other services,,,
DHL Express International,DHL Express International,,,
Economy international delivery,Economy international delivery,,,
Economy delivery from abroad,Economy delivery from abroad,,,
Standard delivery from abroad,Standard delivery from abroad,,,
Express delivery from abroad,Express delivery from abroad,,,
Tracked delivery from abroad,Tracked delivery from abroad,,,
Economy,Economy,,,
Other courier 3-5 days,Other courier 3-5 days,,,
Standard foreign package,Standard foreign package,,,
Standard package,Standard package,,,
Insured mail,Insured mail,,,
International priority mail,International priority mail,,,
Priority mail,Priority mail,,,
Registered mail,Registered mail,,,
Express,Express,,,
Other 24-hour courier,Other 24-hour courier,,,
DHL Express,DHL Express,,,
Paccocelere International,Paccocelere International,,,
Posta Celere / Paccocelere 1,Posta Celere / Paccocelere 1,,,
Expedited Services,Expedited Services,,,
Express international delivery,Express international delivery,,,
Local pickup,Local pickup,,,
Local collection,Local collection,,,
