"4/6","O0315","Online Sales","Orb 3/31 Amex","4/6","AMEX","10104","=SUM(K1:K13)","=COUNT(K1:K13)","100031328","-94.99"
"4/6","O0315","Online Sales","Orb 3/31 Amex","4/6","AMEX","10104","=SUM(K1:K13)","=COUNT(K1:K13)","100031332","-275.98"
"4/6","O0315","Online Sales","Orb 3/31 Amex","4/6","AMEX","10104","=SUM(K1:K13)","=COUNT(K1:K13)","100031333","-247.98"
"4/6","O0315","Online Sales","Orb 3/31 Amex","4/6","AMEX","10104","=SUM(K1:K13)","=COUNT(K1:K13)","100031334","-209.99"
"4/6","O0315","Online Sales","Orb 3/31 Amex","4/6","AMEX","10104","=SUM(K1:K13)","=COUNT(K1:K13)","100031339","-191.99"
"4/6","O0315","Online Sales","Orb 3/31 Amex","4/6","AMEX","10104","=SUM(K1:K13)","=COUNT(K1:K13)","100031347","-159.89"
"4/6","O0315","Online Sales","Orb 3/31 Amex","4/6","AMEX","10104","=SUM(K1:K13)","=COUNT(K1:K13)","100031358","-629.97"
"4/6","O0315","Online Sales","Orb 3/31 Amex","4/6","AMEX","10104","=SUM(K1:K13)","=COUNT(K1:K13)","100031374","-209.99"
"4/6","O0315","Online Sales","Orb 3/31 Amex","4/6","AMEX","10104","=SUM(K1:K13)","=COUNT(K1:K13)","100031378","-699.99"
"4/6","O0315","Online Sales","Orb 3/31 Amex","4/6","AMEX","10104","=SUM(K1:K13)","=COUNT(K1:K13)","100031379","-419.98"
"4/6","O0315","Online Sales","Orb 3/31 Amex","4/6","AMEX","10104","=SUM(K1:K13)","=COUNT(K1:K13)","100031383","-297.99"
"4/6","O0315","Online Sales","Orb 3/31 Amex","4/6","AMEX","10104","=SUM(K1:K13)","=COUNT(K1:K13)","100031384","-189.99"
"4/6","O0315","Online Sales","Orb 3/31 Amex","4/6","AMEX","10104","=SUM(K1:K13)","=COUNT(K1:K13)","100031385","-379.98"
