"7/6","O0615W","Online Sales","Orb 6/30 Amex","7/6","AMEX","10104","=SUM(K1:K11)","=COUNT(K1:K11)","100036056","-357.96"
"7/6","O0615W","Online Sales","Orb 6/30 Amex","7/6","AMEX","10104","=SUM(K1:K11)","=COUNT(K1:K11)","100036066","-1545"
"7/6","O0615W","Online Sales","Orb 6/30 Amex","7/6","AMEX","10104","=SUM(K1:K11)","=COUNT(K1:K11)","100036072","-1505"
"7/6","O0615W","Online Sales","Orb 6/30 Amex","7/6","AMEX","10104","=SUM(K1:K11)","=COUNT(K1:K11)","100036082","-659.99"
"7/6","O0615W","Online Sales","Orb 6/30 Amex","7/6","AMEX","10104","=SUM(K1:K11)","=COUNT(K1:K11)","100036104","-357.96"
"7/6","O0615W","Online Sales","Orb 6/30 Amex","7/6","AMEX","10104","=SUM(K1:K11)","=COUNT(K1:K11)","100036106","-3699.95"
"7/6","O0615W","Online Sales","Orb 6/30 Amex","7/6","AMEX","10104","=SUM(K1:K11)","=COUNT(K1:K11)","100036108","-810.28"
"7/6","O0615W","Online Sales","Orb 6/30 Amex","7/6","AMEX","10104","=SUM(K1:K11)","=COUNT(K1:K11)","100036112","-3966.63"
"7/6","O0615W","Online Sales","Orb 6/30 Amex","7/6","AMEX","10104","=SUM(K1:K11)","=COUNT(K1:K11)","100036119","-2224.92"
"7/6","O0615W","Online Sales","Orb 6/30 Amex","7/6","AMEX","10104","=SUM(K1:K11)","=COUNT(K1:K11)","100036120","-1483.28"
"7/6","O0615W","Online Sales","Orb 6/30 Amex","7/6","AMEX","10104","=SUM(K1:K11)","=COUNT(K1:K11)","100036130","-1514.25"
