"sku","name","ingram_micro_usa","synnex","tech_data","manufacturer_pn_2","etilize_manufactureid","warehouse_errors"
"TS-CMAC141E","Camtasia for Mac (10-14 Users)","","","","CMAC14-1-E","102957","No Warehouse SKUs Available"
"TS-CMAC1991E","Camtasia for Mac (100+ Users)","","","","CMAC199-1-E","102957","No Warehouse SKUs Available"
"TS-CMAC241-E","Camtasia for Mac (15-24 Users)","","","","CMAC24-1-E","102957","No Warehouse SKUs Available"
"TS-CMAC491-E","Camtasia for Mac (25-49 Users)","","","","CMAC49-1-E","102957","No Warehouse SKUs Available"
"TS-CMAC991-E","Camtasia for Mac (50-99 Users)","","","","CMAC99-1-E","102957","No Warehouse SKUs Available"
"TS-CSBN01711","Camtasia Studio and Snagit Bundle","","","","CSBN01-7/11","102957","No Warehouse SKUs Available"
"TS-CSBN01711E","Camtasia Studio and Snagit Bundle (Electronic)","","3182748","","CSBN01-7/11-E","102957",""
"TS-CSBN01MAINT","Camtasia Studio and Snagit Bundle - Maintenance","","2701600","","CSBN01MAINT","102957",""
"TS-CSBN01REN","Camtasia Studio and Snagit Bundle - Maintenance Renewal","","2701607","","CSBN01REN","102957",""
"TS-CSBN01U710E","Camtasia Studio and Snagit Bundle Upgrade (Electronic)","","","","CSBN01U-7/10-E","102957","No Warehouse SKUs Available"
"TS-CSBUN0969E","Camtasia Studio and Snagit Bundle License","","","","CSBUN09-7/9-E","102957","No Warehouse SKUs Available"
"TS-CSBUN0969EHOME","Camtasia Studio and Snagit Bundle License","","","","CSBUN09-7/9-E","","No Warehouse SKUs Available"
"TS-CSBUN1469E","Camtasia Studio and Snagit Bundle (10-14 Users)","","","","CSBUN14-7/9-E","102957","No Warehouse SKUs Available"
"TS-CSBUN19969E","Camtasia Studio and Snagit Bundle (100+ Users)","","","","CSBUN199-7/9-E","102957","No Warehouse SKUs Available"
"TS-CSBUN2469E","Camtasia Studio and Snagit Bundle (15-24 Users)","","","","CSBUN24-7/9-E","102957","No Warehouse SKUs Available"
"TS-CSBUN4969E","Camtasia Studio and Snagit Bundle (25-49 Users)","","","","CSBUN49-7/9-E","102957","No Warehouse SKUs Available"
"TS-CSBUN9969E","Camtasia Studio and Snagit Bundle (50-99 Users)","","","","CSBUN99-7/9-E","102957","No Warehouse SKUs Available"
"TS-MBUN013","Morae 3 Recorder and Observer Bundle","","","","MBUN01-3","102957","No Warehouse SKUs Available"
"TS-MBUN013E","Morae 3 Recorder and Observer Bundle (Electronic)","","","","MBUN01-3-E","102957","No Warehouse SKUs Available"
"TS-MBUN01MAINT","Morae 3 Recorder and Observer Bundle - Maintenance","","","","MBUN01MAINT","102957",""
"TS-MBUN01REN","Morae 3 Recorder and Observer Bundle - Maintenance Renewal","","","","MBUN01REN","102957",""
"TS-MBUN01U3","Morae 3 Recorder and Observer Bundle Upgrade","","","","MBUN01U-3","102957","No Warehouse SKUs Available"
"TS-MBUN01U3E","Morae 3 Recorder and Observer Bundle Upgrade (Electronic)","","","","MBUN01U-3-E","102957","No Warehouse SKUs Available"
"TS-MBUN093E","Morae 3 Recorder and Observer Bundle License","","","","MBUN09-3-E","102957","No Warehouse SKUs Available"
"TS-MBUN093EHOME","Morae 3 Recorder and Observer Bundle License","","","","MBUN09-3-E","","No Warehouse SKUs Available"
"TS-MBUN193E","Morae 3 Recorder and Observer Bundle (10+ Users)","","","","MBUN19-3-E","102957","No Warehouse SKUs Available"
"TS-MMAN013","Morae 3 Manager","","","","MMAN01-3","102957","No Warehouse SKUs Available"
"TS-MMAN013E","Morae 3 Manager (Electronic)","","","","MMAN01-3-E","102957","No Warehouse SKUs Available"
"TS-MMAN01MAINT","Morae 3 Manager - Maintenance","","","","MMAN01MAINT","102957",""
"TS-MMAN01REN","Morae 3 Manager - Maintenance Renewal","","","","MMAN01REN","102957",""
"TS-MMAN01U3","Morae 3 Manager Upgrade","","","","MMAN01U-3","102957","No Warehouse SKUs Available"
"TS-MMAN01U3E","Morae 3 Manager Upgrade (Electronic)","","","","MMAN01U-3-E","102957","No Warehouse SKUs Available"
"TS-MMAN093E","Morae 3 Manager License","","","","MMAN09-3-E","102957","No Warehouse SKUs Available"
"TS-MMAN093EHOME","Morae 3 Manager License","","","","MMAN09-3-E","","No Warehouse SKUs Available"
"TS-MMAN193E","Morae 3 Manager (10+ Users)","","","","MMAN19-3-E","102957","No Warehouse SKUs Available"
"TS-MOBS013","Morae 3 Observer","","","","MOBS01-3","102957","No Warehouse SKUs Available"
"TS-MOBS013E","Morae 3 Observer (Electronic)","","","","MOBS01-3-E","102957","No Warehouse SKUs Available"
"TS-MOBS01MAINT","Morae 3 Observer - Maintenance","","","","MOBS01MAINT","102957",""
"TS-MOBS01REN","Morae 3 Observer - Maintenance Renewal","","","","MOBS01REN","102957",""
"TS-MOBS01U3","Morae 3 Observer Upgrade","","","","MOBS01U-3","102957","No Warehouse SKUs Available"
"TS-MOBS01U3E","Morae 3 Observer Upgrade (Electronic)","","","","MOBS01U-3-E","102957","No Warehouse SKUs Available"
"TS-MOBS093E","Morae 3 Observer (5-9 Users)","","","","MOBS09-3-E","102957","No Warehouse SKUs Available"
"TS-MOBS093EHOME","Morae 3 Observer (5-9 Users)","","","","MOBS09-3-E","","No Warehouse SKUs Available"
"TS-MOBS193E","Morae 3 Observer (10+ Users)","","","","MOBS19-3-E","102957","No Warehouse SKUs Available"
"TS-MOR013","Morae Standard 3 - Manager Observer Recorder","","","","MOR01-3","102957","No Warehouse SKUs Available"
"TS-MOR013E","Morae Standard 3 - Manager Observer Recorder (Electronic)","","","","MOR01-3-E","102957","No Warehouse SKUs Available"
"TS-MOR01MAINT","Morae Standard 3 - Manager Observer Recorder - Maintenance","","2450279","","MOR01MAINT","102957",""
"TS-MOR01REN","Morae Standard 3 - Manager Observer Recorder - Maintenance Renewal","","2432381","","MOR01REN","102957",""
"TS-MOR01U3","Morae Standard 3 Upgrade - Manager Observer Recorder","","","","MOR01U-3","102957","No Warehouse SKUs Available"
"TS-MOR01U3E","Morae Standard 3 Upgrade - Manager Observer Recorder (Electronic)","","","","MOR01U-3-E","102957","No Warehouse SKUs Available"
"TS-MOR093E","Morae Standard 3 - Manager Observer Recorder License","","","","MOR09-3-E","102957","No Warehouse SKUs Available"
"TS-MOR093EHOME","Morae Standard 3 - Manager Observer Recorder License","","","","MOR09-3-E","","No Warehouse SKUs Available"
"TS-MOR193E","Morae Standard 3 - Manager Observer Recorder (10+ Users)","","","","MOR19-3-E","102957","No Warehouse SKUs Available"
"TS-MREC013","Morae 3 Recorder","","","","MREC01-3","102957","No Warehouse SKUs Available"
"TS-MREC013E","Morae 3 Recorder (Electronic)","","","","MREC01-3-E","102957","No Warehouse SKUs Available"
"TS-MREC01MAINT","Morae 3 Recorder - Maintenance","","","","MREC01MAINT","102957",""
"TS-MREC01REN","Morae 3 Recorder - Maintenance Renewal","","","","MREC01REN","102957",""
"TS-MREC01U3","Morae 3 Recorder Upgrade","","","","MREC01U-3","102957","No Warehouse SKUs Available"
"TS-MREC01U3E","Morae 3 Recorder Upgrade (Electronic)","","","","MREC01U-3-E","102957","No Warehouse SKUs Available"
"TS-MREC093E","Morae 3 Recorder License","","","","MREC09-3-E","102957","No Warehouse SKUs Available"
"TS-MREC093EHOME","Morae 3 Recorder License","","","","MREC09-3-E","","No Warehouse SKUs Available"
"TS-MREC193E","Morae 3 Recorder (10+ Users)","","","","MREC19-3-E","102957","No Warehouse SKUs Available"
"TS-SNAG0111","Snagit 11","","3182651","","SNAG01-11","102957",""
"TS-SNAG0111DL","Snagit 11 - Download","","","","SNAG0111DL","","No Warehouse SKUs Available"
"TS-SNAG0111HOME","Snagit 11","","","","SNAG0111DL","","No Warehouse SKUs Available"
"TS-SNAG01U11","Snagit 11 - Upgrade","","3182652","","SNAG01U-11","102957",""
"TS-SNAG01U11E","Snagit 11 - Upgrade - Download","","3182680","","SNAG01U-11-E","102957",""
"TS-SNAG01U11HOME","Snagit 11 - Upgrade","","","","SNAG01U-11-E","","No Warehouse SKUs Available"
"TS-SNAG0911E","Snagit 11 License","","","","SNAG09-11-E","102957","No Warehouse SKUs Available"
"TS-SNAG0911EHOME","Snagit 11 License","","","","SNAG09-11-E","","No Warehouse SKUs Available"
"TS-SNAG199911E","Snagit 11 (1000-1999 Users)","","","","SNAG1999-11-E","102957","No Warehouse SKUs Available"
"TS-SNAG2411E","Snagit 11 (10-24 Users)","","","","SNAG24-11-E","102957","No Warehouse SKUs Available"
"TS-SNAG299911E","Snagit 11 (2000-2999 Users)","","","","SNAG2999-11-E","102957","No Warehouse SKUs Available"
"TS-SNAG449911E","Snagit 11 (3000-4499 Users)","","","","SNAG4499-11-E","102957","No Warehouse SKUs Available"
"TS-SNAG49911E","Snagit 11 (100-499 Users)","","","","SNAG499-11-E","102957","No Warehouse SKUs Available"
"TS-SNAG599911E","Snagit 11 (4500-5999 Users)","","","","SNAG5999-11-E","102957","No Warehouse SKUs Available"
"TS-SNAG749911E","Snagit 11 (6000+ Users)","","","","SNAG7499-11-E","102957","No Warehouse SKUs Available"
"TS-SNAG9911E","Snagit 11 (25-99 Users)","","","","SNAG99-11-E","102957","No Warehouse SKUs Available"
"TS-SNAG99911E","Snagit 11 (500-999 Users)","","","","SNAG999-11-E","102957","No Warehouse SKUs Available"
"TT-LADALL0012C1","Adobe Online Training Library - License","","","","LADALL0012C1","1020896","No Warehouse SKUs Available"
"TT-LADALL0012C1HOME","Adobe Online Training Library - License","","","","LADALL0012C1","","No Warehouse SKUs Available"
"TT-LADALL0012C2","Adobe Online Training Library - License (5-14)","","","","LADALL0012C2","1020896","No Warehouse SKUs Available"
"TT-LADALL0012C3","Adobe Online Training Library - License (15-49)","","","","LADALL0012C3","1020896","No Warehouse SKUs Available"
"TT-LMSALL0012C1","Microsoft Online Training Library - License","","","","LMSALL0012C1","1020896","No Warehouse SKUs Available"
"TT-LMSALL0012C1HOME","Microsoft Online Training Library - License","","","","LMSALL0012C1","","No Warehouse SKUs Available"
"TT-LMSALL0012C2","Microsoft Online Training Library - License (5-14)","","","","LMSALL0012C2","1020896","No Warehouse SKUs Available"
"TT-LMSALL0012C3","Microsoft Online Training Library - License (15-49)","","","","LMSALL0012C3","1020896","No Warehouse SKUs Available"
"TT-LTTALL0012C1","All-Access Online Training Library - License","","","","LTTALL0012C1","1020896","No Warehouse SKUs Available"
"TT-LTTALL0012C1HOME","All-Access Online Training Library - License","","","","LTTALL0012C1","","No Warehouse SKUs Available"
"TT-LTTALL0012C2","All-Access Online Training Library - License (5-14)","","","","LTTALL0012C2","1020896","No Warehouse SKUs Available"
"TT-LTTALL0012C3","All-Access Online Training Library - License (15-49)","","","","LTTALL0012C3","1020896","No Warehouse SKUs Available"
"TT-TACBT9","Total Training for Acrobat 9 Essentials","","","","TACBT9","1020896",""
"TT-TACBTX","Total Training for Acrobat X Pro: Essentials","","","","TACBTX","1020896",""
"TT-TAECS5","Total Training for After Effects CS5: Essentials","","","","TAECS5","1020896",""
"TT-TAK3DMAX","Introduction to 3ds Max: Tools and Workflow","","","","TAK3DMAX","1020896","No Warehouse SKUs Available"
"TT-TAPSCS4BUNDLE","Total Training for CS4 Production Premium Bundle","","","","TAPSCS4BUNDLE","1020896",""
"TT-TAPSCS5","Total Training for CS5 Production Essentials Premium Bundle","","","","TAPSCS5BUNDLE","1020896",""
"TT-TCS4DESIGN","Total Training for CS4 Design: Workflow","","","","TCS4DESIGN","1020896",""
"TT-TCS4DESIGNBUNDLE","Total Training for CS4 Design Bundle","","","","TCS4DESIGNBUNDLE","1020896",""
"TT-TCS4MASTERSBUNDLE","Total Training for CS4 Master Collection Essentials Bundle","","","","TCS4MASTERSBUNDLE","1020896",""
"TT-TCS5DESIGNBUNDLE","Total Training for CS5 Design Essentials Premium Bundle","","","","TCS5DESIGNBUNDLE","1020896",""
"TT-TCS5MASTERSBUNDLE","Total Training for CS5 Master Collection Essentials Bundle","","","","TCS5MASTERSBUNDLE","1020896",""
"TT-TCS5WEBPREMIUMBUN","Total Training for CS5 Web Design Bundle","","","","TCS5WEBDESBUNDLE","1020896",""
"TT-TDREAMCS4","Total Training for Dreamweaver CS4: Essentials","","","","TDREAMCS4","1020896",""
"TT-TDREAMCS4ADV","Total Training for Dreamweaver CS4: Advanced","","","","TDREAMCS4ADV","1020896",""
"TT-TDREAMCS5","Total Training for Dreamweaver CS5: Essentials","","","","TDREAMCS5","1020896",""
